model,metric,observed,ci_lower,ci_upper,ci_width,confidence_level,n_bootstrap,method
baseline,accuracy,0.7543482485546325,0.7516148034785989,0.7573604430840986,0.005745639605499675,0.95,2000,percentile_bootstrap
baseline,macro_f1,0.47042506702421283,0.4555531457647171,0.48532729760045556,0.02977415183573845,0.95,2000,percentile_bootstrap
baseline,weighted_f1,0.778033206703198,0.7754379018384089,0.7808119942866119,0.005374092448202972,0.95,2000,percentile_bootstrap
smote,accuracy,0.7160642277607735,0.7129427197201574,0.7191377593159403,0.006195039595782825,0.95,2000,percentile_bootstrap
smote,macro_f1,0.4874318620087391,0.4751870936825024,0.49892917479399784,0.02374208111149545,0.95,2000,percentile_bootstrap
smote,weighted_f1,0.7631399077175929,0.7604991695411119,0.7658806807093544,0.005381511168242592,0.95,2000,percentile_bootstrap
