comparison,effect_metric,value,magnitude,direction,interpretation
baseline_vs_smote_accuracy,cohens_h,-0.08681843160005309,negligible,baseline_higher,Cohen's h=-0.0868 quantifies the practical difference in accuracy between the two training distributions. |h|<0.2 is considered negligible.
baseline_vs_smote_macro_f1,cohens_h,0.034045487985985945,negligible,smote_higher,Cohen's h=0.0340 quantifies the practical difference in macro_f1 between the two training distributions. |h|<0.2 is considered negligible.
baseline_vs_smote_weighted_f1,cohens_h,-0.03542596567962253,negligible,baseline_higher,Cohen's h=-0.0354 quantifies the practical difference in weighted_f1 between the two training distributions. |h|<0.2 is considered negligible.
Wilcoxon_confidence,rank_biserial_r,0.16860282164738846,small,N/A (unsigned),"Rank-biserial r=0.1686 derived from Wilcoxon Z/√n. Ranges [0,1]; 0.1/0.3/0.5 = small/medium/large."
Wilcoxon_SHAP_importance,rank_biserial_r,0.3258507265472339,medium,N/A (unsigned),"Rank-biserial r=0.3259 derived from Wilcoxon Z/√n. Ranges [0,1]; 0.1/0.3/0.5 = small/medium/large."
Wilcoxon_LIME_importance,rank_biserial_r,0.5946937420992643,large,N/A (unsigned),"Rank-biserial r=0.5947 derived from Wilcoxon Z/√n. Ranges [0,1]; 0.1/0.3/0.5 = small/medium/large."
